UW Year,Loss Date,Reported Date,Last Trans Date,Paid Loss,Outstanding Reserve,Incurred Loss,Status
2019,17/01/2020,24/02/2020,18/03/2020,251.2,0,251.2,Closed
2019,21/02/2020,24/02/2020,,0,0,0,Closed
2019,23/02/2020,24/02/2020,,0,0,0,Closed
2019,19/12/2019,25/02/2020,6/3/2020,2704.1,0,2704.1,Closed
2019,25/02/2020,25/02/2020,,0,0,0,Closed
2019,18/12/2019,25/02/2020,26/03/2020,12662.81,0,12662.81,Closed
2019,18/12/2019,25/02/2020,,0,0,0,Closed
2019,13/02/2020,2/3/2020,21/04/2020,747.86,0,747.86,Closed
2019,2/1/2020,3/3/2020,6/4/2020,1650,0,1650,Closed
2019,1/2/2020,4/3/2020,18/03/2020,317.33,0,317.33,Closed
2019,5/3/2020,5/3/2020,,0,0,0,Closed
2019,6/3/2020,6/3/2020,31/07/2020,717.51,0,717.51,Closed
2019,24/12/2019,6/3/2020,23/03/2020,1955.34,0,1955.34,Closed
2019,5/2/2020,6/3/2020,23/03/2020,930.18,0,930.18,Closed
2019,10/3/2020,11/3/2020,,0,0,0,Closed
2019,12/3/2020,12/3/2020,,0,0,0,Closed
2019,14/02/2020,12/3/2020,27/03/2020,455,0,455,Closed
2019,17/03/2020,21/03/2020,,0,0,0,Closed
2019,18/03/2020,18/03/2020,,0,0,0,Closed
2019,18/03/2020,18/03/2020,,0,0,0,Closed
2019,6/3/2020,20/03/2020,22/04/2020,199,0,199,Closed
2019,9/3/2020,20/03/2020,7/5/2020,591.3,0,591.3,Closed
2019,17/03/2020,26/03/2020,16/04/2020,0,0,0,Closed
2019,23/02/2020,27/03/2020,10/4/2020,1971,0,1971,Closed
2019,12/3/2020,27/03/2020,22/04/2020,1681.49,0,1681.49,Closed
2019,17/03/2020,25/03/2020,19/06/2020,1772.14,0,1772.14,Closed
2019,16/03/2020,25/03/2020,8/1/2021,496.26,0,496.26,Closed
2019,18/03/2020,30/03/2020,,0,0,0,Closed
2019,18/03/2020,30/03/2020,12/5/2020,1156.18,0,1156.18,Closed
2019,16/03/2020,30/03/2020,,0,0,0,Closed
2019,18/03/2020,30/03/2020,6/5/2020,2514.95,0,2514.95,Closed
2019,17/03/2020,30/03/2020,,0,0,0,Closed
2019,17/03/2020,30/03/2020,13/04/2020,623.47,0,623.47,Closed
2019,1/3/2020,26/03/2020,26/06/2020,311.23,0,311.23,Closed
2019,25/03/2020,26/03/2020,10/4/2020,662.17,0,662.17,Closed
2019,17/03/2020,30/03/2020,30/04/2020,1180.39,0,1180.39,Closed
2019,17/03/2020,25/03/2020,,0,0,0,Closed
2019,10/3/2020,31/03/2020,11/6/2020,1240.19,0,1240.19,Closed
2019,17/03/2020,27/03/2020,21/05/2020,2341.64,0,2341.64,Closed
2019,16/03/2020,27/03/2020,,0,0,0,Closed
2019,17/03/2020,27/03/2020,2/6/2020,2301.07,0,2301.07,Closed
2019,16/03/2020,27/03/2020,18/05/2020,2223.64,0,2223.64,Closed
2019,16/03/2020,27/03/2020,21/04/2020,1037.6,0,1037.6,Closed
2019,16/03/2020,30/03/2020,6/5/2020,367.07,0,367.07,Closed
2019,6/3/2020,2/4/2020,16/04/2020,2742.17,0,2742.17,Closed
2019,12/3/2020,30/03/2020,15/04/2020,400,0,400,Closed
2019,15/02/2020,2/4/2020,16/04/2020,400.04,0,400.04,Closed
2019,17/03/2020,2/4/2020,,0,0,0,Closed
2019,18/03/2020,31/03/2020,,0,0,0,Closed
2019,16/03/2020,30/03/2020,23/06/2020,960.4,0,960.4,Closed
2019,18/03/2020,31/03/2020,10/4/2020,1108.45,0,1108.45,Closed
2019,23/01/2020,31/03/2020,,0,0,0,Closed
2019,17/03/2020,1/4/2020,28/09/2020,895.92,0,895.92,Closed
2019,18/03/2020,31/03/2020,20/04/2020,405.7,0,405.7,Closed
2019,18/03/2020,6/4/2020,8/7/2020,1282.06,0,1282.06,Closed
2019,7/4/2020,7/4/2020,,0,0,0,Closed
2019,17/03/2020,6/4/2020,23/04/2020,2398.4,0,2398.4,Closed
2019,28/02/2020,6/4/2020,,0,0,0,Closed
2019,20/03/2020,6/4/2020,17/06/2020,1277.08,0,1277.08,Closed
2019,21/03/2020,6/4/2020,1/7/2020,394.74,0,394.74,Closed
2019,18/03/2020,6/4/2020,8/7/2020,576.92,0,576.92,Closed
2019,16/03/2020,6/4/2020,30/04/2020,1066.36,0,1066.36,Closed
2019,17/03/2020,6/4/2020,19/06/2020,766.5,0,766.5,Closed
2019,16/03/2020,6/4/2020,1/5/2020,1417.99,0,1417.99,Closed
2019,17/03/2020,6/4/2020,7/7/2020,2669.52,0,2669.52,Closed
2019,31/03/2020,6/4/2020,,0,0,0,Closed
2019,17/03/2020,7/4/2020,17/11/2020,1746.9,0,1746.9,Closed
2019,17/03/2020,6/4/2020,15/06/2020,1871.58,0,1871.58,Closed
2019,17/03/2020,6/4/2020,17/06/2020,2246.29,0,2246.29,Closed
2019,16/03/2020,7/4/2020,23/06/2020,1728.31,0,1728.31,Closed
2019,18/03/2020,2/4/2020,29/05/2020,1618.51,0,1618.51,Closed
2019,17/03/2020,7/4/2020,9/6/2020,2809.67,0,2809.67,Closed
2019,25/11/2019,7/4/2020,26/06/2020,0,0,0,Closed
2019,20/03/2020,8/4/2020,23/04/2020,128.1,0,128.1,Closed
2019,17/03/2020,7/4/2020,23/06/2020,2681.62,0,2681.62,Closed
2019,19/03/2020,7/4/2020,5/5/2020,669.66,0,669.66,Closed
2019,25/11/2019,9/4/2020,,0,0,0,Closed
2019,16/03/2020,6/4/2020,4/6/2021,3522.3,0,3522.3,Closed
2019,18/03/2020,6/4/2020,12/5/2020,2335.27,0,2335.27,Closed
2019,16/03/2020,9/4/2020,27/05/2020,1142.28,0,1142.28,Closed
2019,17/03/2020,9/4/2020,15/05/2020,3511.44,0,3511.44,Closed
2019,17/03/2020,9/4/2020,20/04/2020,483,0,483,Closed
2019,17/03/2020,9/4/2020,1/7/2020,3518.27,0,3518.27,Closed
2019,17/03/2020,9/4/2020,,0,0,0,Closed
2019,17/03/2020,6/4/2020,,0,0,0,Closed
2019,17/03/2020,6/4/2020,13/11/2020,1842.89,0,1842.89,Closed
2019,19/03/2020,7/4/2020,,0,0,0,Closed
2019,17/03/2020,7/4/2020,13/05/2020,6717.59,0,6717.59,Closed
2019,18/03/2020,9/4/2020,11/5/2020,1582.65,0,1582.65,Closed
2019,17/03/2020,9/4/2020,27/04/2020,1204,0,1204,Closed
2019,17/03/2020,14/04/2020,7/7/2020,2535.75,0,2535.75,Closed
